Assembly	AH-H-Abyss-Contig	AH-H-Cabog-Contig	AH-H-Mira-Contig	AH-H-Msrca-Contig	AH-H-Sga-Contig	AH-H-Soap-Contig	AH-H-Spades-Contig	AH-H-Velvet-Contig
# misassemblies	0	2	1	2	3	0	1	0
    # relocations	0	2	1	2	3	0	1	0
    # translocations	0	0	0	0	0	0	0	0
    # inversions	0	0	0	0	0	0	0	0
# misassembled contigs	0	2	1	2	3	0	1	0
Misassembled contigs length	0	28456	19737	3104	131784	0	579	0
# local misassemblies	0	1	3	0	9	0	0	0
# mismatches	1049	5044	2164	1575	17253	2592	2011	2248
# indels	44	186	95	61	694	92	75	74
    # short indels (<= 5 bp)	43	181	92	60	666	90	73	73
    # long indels (> 5 bp)	1	5	3	1	28	2	2	1
Indels length	59	275	139	88	1084	127	107	108
